description,unit_name,Water,Nitrogen,Total lipid (fat),Ash,"Phosphorus, P","Manganese, Mn","Potassium, K","Calcium, Ca","Sodium, Na","Magnesium, Mg","Iron, Fe","Copper, Cu","Zinc, Zn",Pantothenic acid,SFA 14:0,SFA 24:0,SFA 11:0,SFA 18:0,PUFA 22:6 n-3 (DHA),SFA 6:0,PUFA 22:4,SFA 15:0,PUFA 20:5 n-3 (EPA),PUFA 18:2 CLAs,PUFA 20:4,SFA 4:0,SFA 16:0,TFA 16:1 t,PUFA 18:4,SFA 22:0,PUFA 22:5 n-3 (DPA),TFA 18:1 t,PUFA 20:3 n-9,MUFA 15:1,MUFA 18:1 c,MUFA 20:1 c,"PUFA 18:3 n-3 c,c,c (ALA)",SFA 20:0,TFA 22:1 t,PUFA 22:2,"PUFA 20:2 n-6 c,c",MUFA 22:1 n-9,SFA 10:0,SFA 17:0,SFA 12:0,SFA 8:0,TFA 18:2 t not further defined,MUFA 16:1 c,PUFA 20:3 n-6,TFA 18:3 t,"PUFA 18:3 n-6 c,c,c","PUFA 18:2 n-6 c,c",MUFA 14:1 c,MUFA 17:1,MUFA 24:1 c,PUFA 20:3 n-3,Starch,"Folate, total","Selenium, Se",Riboflavin,Niacin,"Fiber, total dietary",Thiamin,Vitamin B-6,Lutein + zeaxanthin,"Carotene, beta","Cryptoxanthin, beta",Lycopene,"Carotene, alpha","Tocopherol, delta","Tocopherol, beta","Tocopherol, gamma",Vitamin E (alpha-tocopherol),"Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol, delta","Vitamin C, total ascorbic acid",Lactose,Glucose,Sucrose,Maltose,Galactose,Fructose,Vitamin K (Menaquinone-4),Vitamin K (Dihydrophylloquinone),Vitamin K (phylloquinone),"Choline, from glycerophosphocholine",Betaine,"Choline, from phosphocholine","Choline, from phosphotidyl choline","Choline, free","Choline, total","Choline, from sphingomyelin",Vitamin D2 (ergocalciferol),25-hydroxycholecalciferol,Vitamin D3 (cholecalciferol),Cholesterol,"Iodine, I",SFA 21:0,SFA 9:0,SFA 7:0,MUFA 22:1 n-11,PUFA 22:3,"Fatty acids, total trans",SFA 23:0,TFA 14:1 t,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",TFA 20:1 t,MUFA 12:1,SFA 5:0,"Fatty acids, total saturated",Serine,Valine,Leucine,Arginine,Glutamic acid,Alanine,Cysteine,Histidine,Hydroxyproline,Phenylalanine,Aspartic acid,Isoleucine,Proline,Tryptophan,Threonine,Glycine,Methionine,Tyrosine,Lysine,Vitamin B-12,Retinol,Zeaxanthin,trans-beta-Carotene,trans-Lycopene,Lutein,cis-beta-Carotene,cis-Lycopene,"Cryptoxanthin, alpha",cis-Lutein/Zeaxanthin,Protein,MUFA 20:1,"Fatty acids, total trans-dienoic",Total fat (NLEA),"Fatty acids, total trans-monoenoic",Energy,"Carbohydrate, by summation",PUFA 20:2 c,"Vitamin A, RAE","Sugars, Total",PUFA 20:3 c,PUFA 22:5 c,MUFA 17:1 c,"Fatty acids, total trans-polyenoic",PUFA 18:2 c,PUFA 18:3 c,PUFA 20:5c,PUFA 22:6 c,"Carbohydrate, by difference",PUFA 20:4c,MUFA 22:1 c,Energy (Atwater General Factors),Energy (Atwater Specific Factors),Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Phytofluene,Phytoene,"Fiber, insoluble","Fiber, soluble",Cystine,MUFA 18:1,PUFA 18:2,PUFA 20:3,PUFA 18:3,PUFA 18:3i,Specific Gravity,MUFA 22:1,5-Formyltetrahydrofolic acid (5-HCOH4,10-Formyl folic acid (10HCOFA),5-methyl tetrahydrofolate (5-MTHF),"Molybdenum, Mo","Sulfur, S","Cobalt, Co","Boron, B","Nickel, Ni",Biotin,Beta-sitostanol,Campesterol,Campestanol,"Phytosterols, other",Beta-sitosterol,Brassicasterol,Delta-5-avenasterol,Stigmasterol,Total dietary fiber (AOAC 2011.25),Malic acid,Citric acid,TFA 18:2 t,Genistin,Daidzein,Genistein,Glycitin,Daidzin,"Carotene, gamma",Total Sugars,Stigmastadiene,Delta-7-Stigmastenol,Glutathione,Beta-glucan,"Ergosta-7,22-dienol",Ergosterol,Vitamin D4,Ergosta-7-enol,"Ergosta-5,7-dienol",Ergothioneine,Raffinose,Stachyose,Verbascose,Oxalic acid,Quinic acid,High Molecular Weight Dietary Fiber (HMWDF),Low Molecular Weight Dietary Fiber (LMWDF),Pyruvic acid
"Beans, Dry, Navy, 11F-8195 (0% moisture)",MG,,,,,525.0,1.72,1430.0,206.0,,172.0,7.9,0.974,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 11F-8098 (0% moisture)",MG,,,,,571.0,2.35,1340.0,265.0,,178.0,7.52,0.851,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 11F-8107 (0% moisture)",MG,,,,,552.0,2.14,1520.0,269.0,,184.0,7.4,0.798,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 11F-8179 (0% moisture)",MG,,,,,510.0,1.9,1510.0,217.0,,189.0,7.11,0.883,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 11F-8004 (0% moisture)",MG,,,,,639.0,2.22,1510.0,266.0,,194.0,8.18,1.18,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 11F-8183 (0% moisture)",MG,,,,,563.0,2.33,1440.0,285.0,,184.0,8.18,1.06,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 287 (0% moisture)",MG,,,,,526.0,2.22,1700.0,205.0,,160.0,6.17,1.18,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 613 (0% moisture)",MG,,,,,548.0,2.18,1690.0,206.0,,167.0,5.9,1.16,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 289 (0% moisture)",MG,,,,,545.0,2.67,1620.0,230.0,,165.0,5.56,1.34,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beans, Dry, Navy, 560 (0% moisture)",MG,,,,,551.0,2.26,1660.0,201.0,,180.0,5.37,1.27,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
